customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,complaints_last_3m,outages_last_3m,avg_download_mbps,late_payments_last_6m,promo_active,discount_pct,churn
C0000020,Male,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.71,2339.67,0,0,111.4,0,No,0.0,0
C0000021,Male,1,No,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),113.79,223.05,0,2,219.2,1,No,0.0,0
C0000022,Female,1,No,Yes,10,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,50.56,486.95,0,1,33.4,0,No,0.0,0
C0000023,Male,0,No,No,41,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),117.17,4790.51,1,0,43.5,0,No,0.0,0
C0000024,Male,1,No,No,13,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),80.29,1059.48,0,0,151.9,0,No,0.0,1
C0000025,Male,0,Yes,Yes,8,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,40.13,356.35,0,0,44.4,0,Yes,7.2,0
C0000026,Female,1,Yes,Yes,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),94.54,4500.35,0,0,146.5,1,No,0.0,1
C0000027,Female,0,Yes,No,8,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),58.17,457.51,1,0,32.4,0,No,0.0,0
C0000028,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.85,106.61,0,2,0.0,0,No,0.0,0
C0000029,Female,1,No,No,0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,92.23,28.67,0,0,202.6,0,No,0.0,0
C0000030,Male,0,No,No,17,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),72.9,1276.26,1,0,41.1,0,No,0.0,0
C0000031,Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.51,0.0,0,1,0.0,0,Yes,15.5,0
C0000032,Male,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,64.04,3322.85,1,1,56.0,0,No,0.0,0
C0000033,Female,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.78,681.34,0,0,0.0,1,Yes,19.2,0
C0000034,Female,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,25.64,454.2,0,0,0.0,0,Yes,12.6,0
C0000035,Female,1,No,No,64,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),68.91,4410.97,0,1,193.8,0,No,0.0,0
C0000036,Female,1,Yes,No,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.18,520.87,1,1,0.0,2,Yes,18.9,0
C0000037,Female,1,No,No,56,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.95,1478.75,0,0,0.0,0,No,0.0,0
C0000038,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Electronic check,98.53,3791.14,1,1,147.4,0,No,0.0,0
C0000039,Female,0,Yes,Yes,60,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),66.01,3938.16,1,1,36.7,0,No,0.0,0
C0000040,Male,0,Yes,No,64,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.45,4042.22,1,0,13.6,1,No,0.0,0
C0000041,Female,0,No,No,12,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,71.44,880.28,0,0,39.3,1,Yes,17.7,0
C0000042,Male,0,Yes,Yes,3,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),80.45,247.55,0,0,159.5,1,No,0.0,0
C0000043,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),66.2,193.76,0,1,26.1,0,No,0.0,0
C0000044,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),83.29,51.0,0,0,230.5,1,Yes,11.0,0
C0000045,Male,0,No,Yes,8,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.48,379.46,0,1,44.9,0,Yes,13.4,0
C0000046,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,35.65,936.93,0,1,0.0,2,No,0.0,0
C0000047,Female,0,Yes,No,18,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,66.86,1172.3,1,0,43.6,1,No,0.0,0
C0000048,Female,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),101.08,3025.36,0,1,132.9,1,No,0.0,0
C0000049,Male,0,No,No,35,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,72.65,2564.29,1,0,33.1,1,No,0.0,1
C0000050,Female,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,80.16,2430.7,0,0,176.6,0,Yes,18.4,0
C0000051,Female,0,No,Yes,69,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,57.92,3998.86,0,2,35.1,1,No,0.0,0
C0000052,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,67.94,4754.78,1,0,,0,No,0.0,0
C0000053,Male,1,No,Yes,22,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,52.04,1250.26,0,0,21.2,0,No,0.0,0
C0000054,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,104.8,821.35,1,0,62.1,0,No,0.0,0
C0000055,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,119.8,4248.84,0,1,100.3,2,No,0.0,1
C0000056,Male,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.05,1155.21,1,0,0.0,0,Yes,17.7,1
C0000057,Female,0,No,No,9,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,63.62,520.37,0,2,39.7,1,No,0.0,1
C0000058,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.41,493.27,1,2,61.9,0,No,0.0,0
C0000059,Female,0,No,Yes,70,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.74,1638.98,0,0,0.0,0,No,0.0,0
C0000060,Female,1,No,Yes,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.19,4416.91,2,0,130.0,0,Yes,1.0,0
C0000061,Male,0,No,Yes,39,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,97.47,3816.68,0,1,207.1,2,Yes,8.9,0
C0000062,Female,0,Yes,No,1,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),46.41,51.79,1,0,25.5,2,No,0.0,0
C0000063,Male,0,Yes,Yes,68,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,75.3,5114.6,0,0,209.0,0,No,0.0,0
C0000064,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,132.12,357.37,0,0,186.1,0,No,0.0,0
C0000065,Male,0,No,Yes,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.53,225.48,1,0,0.0,1,Yes,15.1,1
C0000066,Male,1,No,Yes,38,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),103.28,3929.45,0,0,167.9,0,Yes,16.6,0
C0000067,Male,0,No,No,46,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,95.64,,0,0,165.6,0,No,0.0,0
C0000068,Female,0,Yes,No,8,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,62.61,498.62,0,1,23.7,3,No,0.0,0
C0000069,Female,0,No,Yes,63,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,63.93,4041.05,0,1,43.1,1,No,0.0,0
C0000070,Female,0,Yes,No,71,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),55.05,3914.13,0,0,39.7,0,No,0.0,0
C0000071,Female,1,Yes,Yes,29,No,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,84.56,2436.88,0,0,156.8,1,No,0.0,0
C0000072,Female,0,No,Yes,57,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),78.85,4499.45,0,2,212.9,0,Yes,10.8,0
C0000073,Male,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,86.22,2408.19,0,2,110.4,0,No,0.0,0
C0000074,Female,0,No,No,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.56,0.0,1,0,0.0,0,No,0.0,1
C0000075,Female,0,No,No,8,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59.84,510.09,2,0,35.5,1,No,0.0,1
C0000076,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,81.7,3168.93,1,0,124.3,2,No,0.0,0
C0000077,Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.66,115.1,0,0,0.0,0,No,0.0,1
C0000078,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),114.92,1149.3,0,1,126.3,0,Yes,3.3,1
C0000079,Male,0,No,No,8,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),73.66,600.01,0,0,190.4,0,Yes,18.3,0
C0000080,Male,1,No,Yes,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,454.7,1,0,0.0,0,No,0.0,0
C0000081,Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),25.27,1204.78,0,1,0.0,1,Yes,16.6,0
C0000082,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Mailed check,103.28,38.73,0,1,106.8,3,Yes,4.0,1
C0000083,Male,0,No,Yes,0,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),104.24,1.73,0,1,160.0,1,No,0.0,0
C0000084,Female,0,Yes,No,4,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),95.12,408.22,2,0,102.1,0,Yes,18.2,0
C0000085,Female,0,Yes,Yes,6,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),71.77,433.64,1,0,35.2,0,No,0.0,0
C0000086,Female,0,Yes,No,56,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,54.14,3041.68,0,1,34.3,2,No,0.0,0
C0000087,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,103.48,5129.75,0,0,195.2,1,No,0.0,0
C0000088,Female,0,No,Yes,13,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),105.98,1371.7,1,0,246.6,0,No,0.0,0
C0000089,Female,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.69,7306.95,0,0,147.1,0,No,0.0,0
C0000090,Male,0,Yes,No,30,No,No phone service,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.77,3008.28,2,0,190.8,0,Yes,9.1,0
C0000091,Female,0,No,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,394.1,0,0,0.0,2,No,0.0,0
C0000092,Male,0,No,No,51,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,No,Mailed check,65.18,3331.37,0,1,44.6,0,No,0.0,0
C0000093,Female,0,No,No,39,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),79.68,3114.82,0,1,20.7,0,No,0.0,0
C0000094,Female,0,No,No,51,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,103.13,5267.43,0,0,173.3,0,No,0.0,0
C0000095,Female,1,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),68.44,2269.98,1,2,186.9,0,Yes,26.9,0
C0000096,Male,0,No,No,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.47,1507.94,0,0,0.0,1,No,0.0,0
C0000097,Female,0,No,No,6,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),99.54,607.64,0,1,153.9,0,No,0.0,0
C0000098,Female,0,No,No,3,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,80.77,272.25,0,1,34.8,2,No,0.0,0
C0000099,Female,0,Yes,Yes,54,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Mailed check,80.68,4387.82,0,1,45.3,1,Yes,14.6,0
C0000100,Male,0,Yes,No,8,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),46.78,393.34,2,1,143.2,1,No,0.0,1
C0000101,Male,0,No,No,10,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),86.43,916.33,1,2,57.5,0,No,0.0,0
C0000102,Male,0,No,No,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,36.98,1469.97,0,1,41.3,0,Yes,5.7,0
C0000103,Female,1,No,No,26,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),74.81,1912.31,0,0,56.7,0,No,0.0,0
C0000104,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,78.26,550.81,0,0,135.2,1,No,0.0,0
C0000105,Male,0,Yes,No,70,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),61.21,4264.81,0,0,171.0,0,No,0.0,0
C0000106,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,112.49,7913.54,1,0,,0,No,0.0,0
C0000107,Female,1,Yes,No,57,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),103.55,5821.83,0,0,175.2,1,Yes,19.3,0
C0000108,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),79.22,459.74,2,0,162.5,0,No,0.0,0
C0000109,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.3,0.0,1,0,0.0,0,Yes,21.8,0
C0000110,Male,0,No,Yes,9,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,54.77,498.68,1,0,39.3,0,Yes,13.7,0
C0000111,Female,0,No,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),66.63,4696.54,0,0,28.0,1,No,0.0,0
C0000112,Female,0,No,Yes,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,25.82,492.15,0,1,0.0,0,No,0.0,0
C0000113,Female,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,87.9,6199.53,1,0,131.5,0,No,0.0,0
C0000114,Male,1,No,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),28.98,1735.82,0,0,0.0,0,No,0.0,0
C0000115,Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,109.45,31.69,2,0,242.6,0,No,0.0,1
C0000116,Male,0,No,No,5,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),60.45,334.74,0,0,26.3,0,No,0.0,0
C0000117,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),101.23,836.84,1,0,45.9,0,No,0.0,0
C0000118,Male,0,Yes,No,16,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Mailed check,83.71,1288.03,0,1,30.3,0,No,0.0,0
C0000119,Female,1,No,No,48,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,105.38,5101.27,2,0,98.6,0,Yes,7.2,0
C0000120,Male,0,No,Yes,55,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),47.98,2630.25,0,1,25.9,0,No,0.0,0
C0000121,Male,0,No,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.91,1498.29,0,0,0.0,1,Yes,4.0,0
C0000122,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),122.41,495.12,1,0,208.2,0,No,0.0,0
C0000123,Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,88.3,506.12,2,0,172.4,1,Yes,18.3,0
C0000124,Female,0,Yes,No,53,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,90.26,4755.82,0,1,85.5,0,No,0.0,0
C0000125,Female,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.0,284.92,0,1,0.0,0,Yes,22.6,0
C0000126,Male,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,94.51,0,0,0.0,0,No,0.0,1
C0000127,Female,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,28.25,1413.43,0,0,0.0,2,No,0.0,0
C0000128,Female,0,Yes,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.0,56.37,0,0,0.0,0,No,0.0,0
C0000129,Female,0,No,Yes,28,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,56.04,1553.48,0,0,116.8,0,Yes,19.5,0
C0000130,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,67.44,449.39,0,0,19.3,3,No,0.0,0
C0000131,Female,0,No,No,1,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,60.23,78.03,1,0,28.8,0,Yes,18.3,1
C0000132,Male,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.57,1132.83,1,0,0.0,0,No,0.0,0
C0000133,Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.94,1508.69,0,0,0.0,1,No,0.0,0
C0000134,Female,0,Yes,No,28,No,No phone service,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,64.59,1809.18,0,0,42.5,0,No,0.0,0
C0000135,Male,0,Yes,Yes,2,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),47.36,27.85,3,0,54.2,0,No,0.0,0
C0000136,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.27,1009.21,0,0,181.7,0,No,0.0,0
C0000137,Male,1,No,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,88.14,1503.18,0,0,174.2,0,No,0.0,0
C0000138,Female,0,Yes,Yes,5,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),96.0,459.69,2,0,151.9,0,No,0.0,1
C0000139,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),28.8,221.08,0,0,0.0,1,No,0.0,0
C0000140,Female,0,Yes,No,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.19,4653.85,0,0,112.4,1,No,0.0,1
C0000141,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.35,617.87,1,1,201.9,0,No,0.0,1
C0000142,Male,0,Yes,No,69,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),100.25,6906.38,0,2,184.7,0,No,0.0,0
C0000143,Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.98,309.32,3,0,183.7,0,No,0.0,1
C0000144,Male,0,No,No,26,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),59.97,1504.67,0,0,171.3,0,No,0.0,0
C0000145,Female,0,No,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),97.48,319.09,0,2,176.4,0,Yes,7.5,0
C0000146,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.79,218.68,1,0,0.0,0,Yes,11.7,0
C0000147,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,39.99,28.0,0,0,0.0,0,Yes,14.1,0
C0000148,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),126.8,4328.37,0,1,239.9,0,No,0.0,0
